,Respondent_ID,Gender,Age,Typical_consumption_situations,Current_brands
1150,121181,Female,31-45,Studying/working late,Gangster
1151,121182,Male,31-45,Studying/working late,CodeX
1152,121183,Male,31-45,Sports/exercise,CodeX
1153,121184,Male,31-45,Studying/working late,Bepsi
1154,121185,Female,19-30,Other,Gangster
1155,121186,Male,46-65,Sports/exercise,Cola-Coka
1156,121187,Male,19-30,Sports/exercise,Bepsi
1157,121188,Male,19-30,Studying/working late,Bepsi
1158,121189,Female,46-65,Sports/exercise,Cola-Coka
1159,121190,Male,15-18,Studying/working late,Sky 9
1160,121191,Male,19-30,Sports/exercise,Bepsi
1161,121192,Female,15-18,Social outings/parties,Blue Bull
1162,121193,Male,19-30,Sports/exercise,Blue Bull
1163,121194,Male,31-45,Studying/working late,Cola-Coka
1164,121195,Female,19-30,Studying/working late,Gangster
1165,121196,Male,31-45,Sports/exercise,Others
1166,121197,Female,15-18,Sports/exercise,Bepsi
1167,121198,Female,19-30,Social outings/parties,Others
1168,121199,Male,19-30,Social outings/parties,Bepsi
1169,121200,Female,19-30,Studying/working late,Sky 9
1170,121201,Female,15-18,Social outings/parties,Bepsi
1171,121202,Male,19-30,Sports/exercise,Cola-Coka
1172,121203,Female,19-30,Sports/exercise,Gangster
1173,121204,Female,19-30,Sports/exercise,Cola-Coka
1174,121205,Female,19-30,Sports/exercise,Cola-Coka
1175,121206,Male,19-30,Sports/exercise,Gangster
1176,121207,Male,19-30,Sports/exercise,Gangster
1177,121208,Male,31-45,Social outings/parties,Bepsi
1178,121209,Female,31-45,Sports/exercise,Gangster
1179,121210,Male,19-30,Other,Bepsi
1180,121211,Male,15-18,Sports/exercise,Bepsi
1181,121212,Male,19-30,Social outings/parties,Sky 9
1182,121213,Male,19-30,Sports/exercise,Cola-Coka
1183,121214,Female,19-30,Sports/exercise,Bepsi
1184,121215,Female,15-18,Studying/working late,Bepsi
1185,121216,Male,15-18,Studying/working late,Cola-Coka
1186,121217,Female,31-45,Social outings/parties,Cola-Coka
1187,121218,Female,19-30,Sports/exercise,CodeX
1188,121219,Non-binary,19-30,Studying/working late,Sky 9
1189,121220,Male,19-30,Social outings/parties,Bepsi
1190,121221,Male,31-45,Sports/exercise,Sky 9
1191,121222,Male,19-30,Studying/working late,Others
1192,121223,Female,31-45,Other,Blue Bull
1193,121224,Male,31-45,Other,Gangster
1194,121225,Male,15-18,Studying/working late,Cola-Coka
1195,121226,Female,19-30,Sports/exercise,Cola-Coka
1196,121227,Male,15-18,Studying/working late,Gangster
1197,121228,Male,31-45,Studying/working late,Cola-Coka
1198,121229,Female,19-30,Studying/working late,Cola-Coka
1199,121230,Female,19-30,Studying/working late,Gangster
1200,121231,Male,19-30,Sports/exercise,Cola-Coka
1201,121232,Male,31-45,Studying/working late,Blue Bull
1202,121233,Male,15-18,Sports/exercise,CodeX
1203,121234,Female,19-30,Sports/exercise,Bepsi
1204,121235,Male,19-30,Sports/exercise,Cola-Coka
1205,121236,Male,19-30,Sports/exercise,Gangster
1206,121237,Female,15-18,Studying/working late,Sky 9
1207,121238,Male,19-30,Social outings/parties,Cola-Coka
1208,121239,Male,19-30,Other,Sky 9
1209,121240,Male,15-18,Studying/working late,Cola-Coka
1210,121241,Male,19-30,Studying/working late,Bepsi
1211,121242,Male,19-30,Sports/exercise,Cola-Coka
1212,121243,Male,46-65,Studying/working late,Gangster
1213,121244,Female,19-30,Driving/commuting,Bepsi
1214,121245,Male,19-30,Studying/working late,Sky 9
1215,121246,Male,31-45,Studying/working late,Blue Bull
1216,121247,Female,46-65,Studying/working late,Gangster
1217,121248,Male,31-45,Studying/working late,Cola-Coka
1218,121249,Male,15-18,Sports/exercise,Blue Bull
1219,121250,Male,46-65,Sports/exercise,Cola-Coka
1220,121251,Male,19-30,Sports/exercise,Bepsi
1221,121252,Male,65+,Sports/exercise,Cola-Coka
1222,121253,Male,19-30,Sports/exercise,Blue Bull
1223,121254,Male,19-30,Studying/working late,Gangster
1224,121255,Female,19-30,Sports/exercise,Bepsi
1225,121256,Female,19-30,Sports/exercise,Others
1226,121257,Non-binary,15-18,Studying/working late,Bepsi
1227,121258,Male,15-18,Studying/working late,Bepsi
1228,121259,Male,19-30,Sports/exercise,Blue Bull
1229,121260,Male,19-30,Sports/exercise,Gangster
1230,121261,Male,19-30,Studying/working late,Blue Bull
1231,121262,Male,15-18,Sports/exercise,Bepsi
1232,121263,Male,46-65,Social outings/parties,Gangster
1233,121264,Male,19-30,Social outings/parties,Gangster
1234,121265,Male,19-30,Social outings/parties,Bepsi
1235,121266,Male,19-30,Studying/working late,Bepsi
1236,121267,Male,19-30,Studying/working late,Blue Bull
1237,121268,Male,31-45,Sports/exercise,CodeX
1238,121269,Male,19-30,Social outings/parties,Gangster
1239,121270,Male,15-18,Studying/working late,Bepsi
1240,121271,Female,19-30,Studying/working late,Cola-Coka
1241,121272,Non-binary,31-45,Social outings/parties,Blue Bull
1242,121273,Male,19-30,Studying/working late,Bepsi
1243,121274,Male,31-45,Sports/exercise,Bepsi
1244,121275,Male,19-30,Other,Blue Bull
1245,121276,Male,19-30,Studying/working late,Cola-Coka
1246,121277,Female,46-65,Sports/exercise,Bepsi
1247,121278,Female,19-30,Studying/working late,Cola-Coka
1248,121279,Male,19-30,Sports/exercise,Gangster
1249,121280,Male,31-45,Studying/working late,Bepsi
1250,121281,Male,19-30,Sports/exercise,CodeX
1251,121282,Male,46-65,Sports/exercise,Gangster
1252,121283,Male,19-30,Driving/commuting,Sky 9
1253,121284,Female,19-30,Sports/exercise,Cola-Coka
1254,121285,Male,19-30,Sports/exercise,Cola-Coka
1255,121286,Male,19-30,Studying/working late,Sky 9
1256,121287,Female,19-30,Other,Gangster
1257,121288,Male,19-30,Studying/working late,Blue Bull
1258,121289,Female,15-18,Studying/working late,Cola-Coka
1259,121290,Female,31-45,Sports/exercise,Sky 9
1260,121291,Female,19-30,Studying/working late,Bepsi
1261,121292,Male,19-30,Other,CodeX
1262,121293,Female,31-45,Social outings/parties,Cola-Coka
1263,121294,Female,31-45,Sports/exercise,Gangster
1264,121295,Female,19-30,Studying/working late,Others
1265,121296,Male,19-30,Sports/exercise,Blue Bull
1266,121297,Female,19-30,Studying/working late,Cola-Coka
1267,121298,Female,19-30,Studying/working late,Sky 9
1268,121299,Male,31-45,Sports/exercise,Cola-Coka
1269,121300,Female,31-45,Studying/working late,CodeX
1270,121301,Female,31-45,Studying/working late,Others
1271,121302,Female,19-30,Studying/working late,Gangster
1272,121303,Male,31-45,Studying/working late,Bepsi
1273,121304,Female,46-65,Studying/working late,CodeX
1274,121305,Non-binary,19-30,Social outings/parties,Gangster
1275,121306,Male,19-30,Social outings/parties,Bepsi
1276,121307,Male,15-18,Sports/exercise,Blue Bull
1277,121308,Female,19-30,Other,CodeX
1278,121309,Female,31-45,Sports/exercise,Bepsi
1279,121310,Female,19-30,Sports/exercise,Gangster
1280,121311,Male,19-30,Sports/exercise,Blue Bull
1281,121312,Female,19-30,Sports/exercise,Others
1282,121313,Male,19-30,Driving/commuting,Bepsi
1283,121314,Male,19-30,Sports/exercise,Bepsi
1284,121315,Non-binary,19-30,Sports/exercise,Others
1285,121316,Female,19-30,Sports/exercise,Gangster
1286,121317,Female,19-30,Sports/exercise,Cola-Coka
1287,121318,Male,19-30,Sports/exercise,Cola-Coka
1288,121319,Male,31-45,Studying/working late,Blue Bull
1289,121320,Male,19-30,Social outings/parties,Cola-Coka
1290,121321,Male,31-45,Sports/exercise,Bepsi
1291,121322,Male,46-65,Sports/exercise,Cola-Coka
1292,121323,Male,19-30,Other,Sky 9
1293,121324,Female,31-45,Social outings/parties,Blue Bull
1294,121325,Female,15-18,Sports/exercise,Bepsi
1295,121326,Male,31-45,Studying/working late,Bepsi
1296,121327,Male,19-30,Studying/working late,Cola-Coka
1297,121328,Male,19-30,Social outings/parties,Bepsi
1298,121329,Male,31-45,Sports/exercise,Sky 9
1299,121330,Female,65+,Other,Cola-Coka
1300,121331,Female,15-18,Other,Blue Bull
1301,121332,Male,19-30,Sports/exercise,Sky 9
1302,121333,Male,19-30,Sports/exercise,Gangster
1303,121334,Male,19-30,Other,Bepsi
1304,121335,Female,31-45,Sports/exercise,Gangster
1305,121336,Female,19-30,Sports/exercise,Cola-Coka
1306,121337,Female,19-30,Other,Gangster
1307,121338,Male,19-30,Sports/exercise,Sky 9
1308,121339,Male,19-30,Sports/exercise,Cola-Coka
1309,121340,Male,31-45,Studying/working late,CodeX
1310,121341,Male,31-45,Studying/working late,Others
1311,121342,Male,15-18,Social outings/parties,Blue Bull
1312,121343,Male,31-45,Studying/working late,Bepsi
1313,121344,Male,19-30,Studying/working late,Cola-Coka
1314,121345,Male,19-30,Sports/exercise,Cola-Coka
1315,121346,Male,31-45,Social outings/parties,Bepsi
1316,121347,Female,46-65,Sports/exercise,Sky 9
1317,121348,Male,31-45,Studying/working late,Cola-Coka
1318,121349,Male,19-30,Sports/exercise,Bepsi
1319,121350,Male,19-30,Studying/working late,Cola-Coka
1320,121351,Male,19-30,Sports/exercise,Cola-Coka
1321,121352,Female,19-30,Sports/exercise,Cola-Coka
1322,121353,Male,19-30,Sports/exercise,Cola-Coka
1323,121354,Female,19-30,Studying/working late,Sky 9
1324,121355,Male,31-45,Studying/working late,Cola-Coka
1325,121356,Male,19-30,Studying/working late,Cola-Coka
1326,121357,Male,31-45,Social outings/parties,Cola-Coka
1327,121358,Male,19-30,Sports/exercise,Cola-Coka
1328,121359,Male,31-45,Sports/exercise,Bepsi
1329,121360,Female,15-18,Social outings/parties,Blue Bull
1330,121361,Male,31-45,Studying/working late,Bepsi
1331,121362,Female,19-30,Studying/working late,Gangster
1332,121363,Female,46-65,Sports/exercise,Bepsi
1333,121364,Female,19-30,Studying/working late,Cola-Coka
1334,121365,Male,19-30,Sports/exercise,Cola-Coka
1335,121366,Non-binary,15-18,Studying/working late,CodeX
1336,121367,Female,19-30,Sports/exercise,Bepsi
1337,121368,Male,19-30,Social outings/parties,Gangster
1338,121369,Male,46-65,Sports/exercise,Gangster
1339,121370,Male,31-45,Sports/exercise,Blue Bull
1340,121371,Female,19-30,Studying/working late,Cola-Coka
1341,121372,Female,31-45,Sports/exercise,Gangster
1342,121373,Male,15-18,Studying/working late,Bepsi
1343,121374,Non-binary,19-30,Studying/working late,Cola-Coka
1344,121375,Female,31-45,Studying/working late,Gangster
1345,121376,Female,31-45,Sports/exercise,Bepsi
1346,121377,Female,31-45,Social outings/parties,Blue Bull
1347,121378,Female,31-45,Sports/exercise,Bepsi
1348,121379,Female,19-30,Sports/exercise,Cola-Coka
1349,121380,Female,19-30,Social outings/parties,Bepsi
1350,121381,Male,31-45,Sports/exercise,Cola-Coka
1351,121382,Female,19-30,Sports/exercise,Blue Bull
1352,121383,Male,46-65,Sports/exercise,Others
1353,121384,Female,19-30,Sports/exercise,Gangster
1354,121385,Female,19-30,Social outings/parties,Sky 9
1355,121386,Female,31-45,Sports/exercise,Bepsi
1356,121387,Male,15-18,Studying/working late,Gangster
1357,121388,Female,15-18,Studying/working late,Bepsi
1358,121389,Male,15-18,Studying/working late,Sky 9
1359,121390,Male,19-30,Studying/working late,CodeX
1360,121391,Female,19-30,Studying/working late,CodeX
1361,121392,Male,19-30,Sports/exercise,Others
1362,121393,Female,31-45,Sports/exercise,CodeX
1363,121394,Female,15-18,Studying/working late,Bepsi
1364,121395,Male,19-30,Sports/exercise,Cola-Coka
1365,121396,Female,31-45,Studying/working late,Bepsi
1366,121397,Female,15-18,Studying/working late,Cola-Coka
1367,121398,Male,19-30,Studying/working late,CodeX
1368,121399,Female,15-18,Social outings/parties,Cola-Coka
1369,121400,Male,19-30,Studying/working late,Cola-Coka
1370,121401,Male,65+,Studying/working late,Sky 9
1371,121402,Male,19-30,Studying/working late,Blue Bull
1372,121403,Male,19-30,Sports/exercise,Bepsi
1373,121404,Female,19-30,Sports/exercise,Cola-Coka
1374,121405,Male,19-30,Sports/exercise,Gangster
1375,121406,Male,31-45,Sports/exercise,Bepsi
1376,121407,Male,19-30,Sports/exercise,Blue Bull
1377,121408,Male,19-30,Sports/exercise,Gangster
1378,121409,Male,19-30,Sports/exercise,CodeX
1379,121410,Female,31-45,Other,Cola-Coka
1380,121411,Male,46-65,Sports/exercise,Bepsi
1381,121412,Non-binary,15-18,Sports/exercise,Blue Bull
1382,121413,Female,15-18,Social outings/parties,Cola-Coka
1383,121414,Female,31-45,Sports/exercise,Sky 9
1384,121415,Male,19-30,Studying/working late,Gangster
1385,121416,Female,19-30,Studying/working late,Gangster
1386,121417,Male,19-30,Other,Cola-Coka
1387,121418,Male,19-30,Studying/working late,Gangster
1388,121419,Male,15-18,Studying/working late,Gangster
1389,121420,Male,19-30,Sports/exercise,Cola-Coka
1390,121421,Male,19-30,Sports/exercise,Bepsi
1391,121422,Male,19-30,Studying/working late,Cola-Coka
1392,121423,Female,19-30,Social outings/parties,Gangster
1393,121424,Non-binary,31-45,Social outings/parties,Bepsi
1394,121425,Male,31-45,Social outings/parties,Gangster
1395,121426,Male,65+,Driving/commuting,Gangster
1396,121427,Male,15-18,Sports/exercise,Cola-Coka
1397,121428,Male,31-45,Other,Cola-Coka
1398,121429,Male,31-45,Studying/working late,Bepsi
1399,121430,Male,31-45,Sports/exercise,Sky 9
1400,121431,Male,15-18,Sports/exercise,Cola-Coka
1401,121432,Male,15-18,Sports/exercise,Bepsi
1402,121433,Female,31-45,Driving/commuting,Blue Bull
1403,121434,Female,31-45,Social outings/parties,CodeX
1404,121435,Non-binary,46-65,Studying/working late,Cola-Coka
1405,121436,Male,19-30,Studying/working late,Cola-Coka
1406,121437,Male,19-30,Sports/exercise,Cola-Coka
1407,121438,Male,19-30,Studying/working late,Cola-Coka
1408,121439,Female,19-30,Sports/exercise,Sky 9
1409,121440,Male,31-45,Social outings/parties,CodeX
1410,121441,Male,19-30,Other,Gangster
1411,121442,Male,31-45,Studying/working late,Cola-Coka
1412,121443,Male,19-30,Studying/working late,Gangster
1413,121444,Male,19-30,Sports/exercise,Cola-Coka
1414,121445,Male,15-18,Sports/exercise,Cola-Coka
1415,121446,Female,15-18,Sports/exercise,Bepsi
1416,121447,Male,31-45,Studying/working late,Bepsi
1417,121448,Male,31-45,Social outings/parties,Cola-Coka
1418,121449,Female,19-30,Sports/exercise,Blue Bull
1419,121450,Female,19-30,Sports/exercise,Bepsi
1420,121451,Male,15-18,Studying/working late,Blue Bull
1421,121452,Male,19-30,Social outings/parties,Others
1422,121453,Male,65+,Sports/exercise,Cola-Coka
1423,121454,Male,15-18,Sports/exercise,Gangster
1424,121455,Male,19-30,Sports/exercise,Cola-Coka
1425,121456,Male,31-45,Sports/exercise,Cola-Coka
1426,121457,Male,19-30,Sports/exercise,Bepsi
1427,121458,Female,19-30,Sports/exercise,Cola-Coka
1428,121459,Male,19-30,Sports/exercise,Gangster
1429,121460,Female,15-18,Studying/working late,Gangster
1430,121461,Female,31-45,Sports/exercise,Sky 9
1431,121462,Female,19-30,Sports/exercise,Bepsi
1432,121463,Female,19-30,Sports/exercise,Bepsi
1433,121464,Male,19-30,Sports/exercise,Others
1434,121465,Male,19-30,Sports/exercise,Gangster
1435,121466,Male,19-30,Driving/commuting,Sky 9
1436,121467,Female,15-18,Studying/working late,Bepsi
1437,121468,Male,15-18,Studying/working late,Gangster
1438,121469,Male,19-30,Sports/exercise,Cola-Coka
1439,121470,Male,15-18,Social outings/parties,Sky 9
1440,121471,Male,19-30,Studying/working late,Cola-Coka
1441,121472,Male,19-30,Sports/exercise,Bepsi
1442,121473,Male,31-45,Social outings/parties,Cola-Coka
1443,121474,Male,19-30,Sports/exercise,Gangster
1444,121475,Male,19-30,Sports/exercise,Blue Bull
1445,121476,Female,19-30,Sports/exercise,Cola-Coka
1446,121477,Female,31-45,Sports/exercise,CodeX
1447,121478,Female,19-30,Sports/exercise,Cola-Coka
1448,121479,Male,19-30,Studying/working late,Gangster
1449,121480,Female,46-65,Sports/exercise,Blue Bull
1450,121481,Male,19-30,Other,Bepsi
1451,121482,Female,15-18,Social outings/parties,Bepsi
1452,121483,Female,19-30,Other,Cola-Coka
1453,121484,Female,19-30,Sports/exercise,Cola-Coka
1454,121485,Female,19-30,Sports/exercise,Gangster
1455,121486,Female,19-30,Social outings/parties,Cola-Coka
1456,121487,Female,31-45,Sports/exercise,Blue Bull
1457,121488,Female,46-65,Sports/exercise,Cola-Coka
1458,121489,Male,31-45,Studying/working late,Cola-Coka
1459,121490,Male,15-18,Studying/working late,Gangster
1460,121491,Male,19-30,Sports/exercise,Bepsi
1461,121492,Male,31-45,Social outings/parties,Bepsi
1462,121493,Female,19-30,Social outings/parties,Bepsi
1463,121494,Male,19-30,Sports/exercise,Cola-Coka
1464,121495,Male,31-45,Studying/working late,Cola-Coka
1465,121496,Male,31-45,Studying/working late,Bepsi
1466,121497,Male,19-30,Sports/exercise,Others
1467,121498,Female,19-30,Other,Blue Bull
1468,121499,Male,19-30,Studying/working late,Others
1469,121500,Female,19-30,Sports/exercise,Bepsi
1470,121501,Male,19-30,Sports/exercise,Gangster
1471,121502,Female,15-18,Sports/exercise,Bepsi
1472,121503,Non-binary,19-30,Sports/exercise,Bepsi
1473,121504,Male,19-30,Sports/exercise,Gangster
1474,121505,Male,19-30,Studying/working late,Gangster
1475,121506,Male,15-18,Studying/working late,Cola-Coka
1476,121507,Male,19-30,Studying/working late,CodeX
1477,121508,Male,19-30,Studying/working late,Cola-Coka
1478,121509,Male,15-18,Other,Cola-Coka
1479,121510,Male,19-30,Studying/working late,Others
1480,121511,Male,19-30,Social outings/parties,Cola-Coka
1481,121512,Male,31-45,Other,Bepsi
1482,121513,Female,19-30,Social outings/parties,CodeX
1483,121514,Male,46-65,Studying/working late,CodeX
1484,121515,Male,15-18,Sports/exercise,Sky 9
1485,121516,Female,19-30,Studying/working late,Cola-Coka
1486,121517,Female,31-45,Sports/exercise,Cola-Coka
1487,121518,Male,15-18,Studying/working late,Bepsi
1488,121519,Female,19-30,Studying/working late,CodeX
1489,121520,Male,19-30,Sports/exercise,Gangster
1490,121521,Male,31-45,Sports/exercise,Blue Bull
1491,121522,Male,65+,Sports/exercise,Gangster
1492,121523,Male,19-30,Driving/commuting,Cola-Coka
1493,121524,Male,31-45,Social outings/parties,Cola-Coka
1494,121525,Male,19-30,Studying/working late,Bepsi
1495,121526,Male,15-18,Studying/working late,Bepsi
1496,121527,Male,19-30,Other,Cola-Coka
1497,121528,Female,19-30,Social outings/parties,Sky 9
1498,121529,Female,31-45,Other,Bepsi
1499,121530,Non-binary,31-45,Studying/working late,Sky 9
1500,121531,Female,19-30,Social outings/parties,Cola-Coka
1501,121532,Male,15-18,Sports/exercise,Bepsi
1502,121533,Male,31-45,Studying/working late,Sky 9
1503,121534,Female,19-30,Sports/exercise,Blue Bull
1504,121535,Female,19-30,Studying/working late,Cola-Coka
1505,121536,Male,15-18,Studying/working late,Gangster
1506,121537,Male,19-30,Sports/exercise,Gangster
1507,121538,Male,19-30,Sports/exercise,Gangster
1508,121539,Male,31-45,Social outings/parties,Bepsi
1509,121540,Male,19-30,Sports/exercise,Sky 9
1510,121541,Male,65+,Sports/exercise,Gangster
1511,121542,Male,15-18,Studying/working late,Gangster
1512,121543,Male,19-30,Sports/exercise,Bepsi
1513,121544,Male,31-45,Social outings/parties,Blue Bull
1514,121545,Male,19-30,Sports/exercise,Cola-Coka
1515,121546,Non-binary,19-30,Sports/exercise,Bepsi
1516,121547,Male,19-30,Sports/exercise,Cola-Coka
1517,121548,Male,19-30,Studying/working late,Bepsi
1518,121549,Male,19-30,Other,CodeX
1519,121550,Female,19-30,Social outings/parties,Gangster
1520,121551,Male,19-30,Studying/working late,Cola-Coka
1521,121552,Male,19-30,Studying/working late,Gangster
1522,121553,Male,19-30,Studying/working late,Bepsi
1523,121554,Non-binary,19-30,Sports/exercise,Bepsi
1524,121555,Female,15-18,Sports/exercise,Bepsi
1525,121556,Male,19-30,Sports/exercise,Blue Bull
1526,121557,Female,31-45,Sports/exercise,Cola-Coka
1527,121558,Male,19-30,Social outings/parties,Bepsi
1528,121559,Female,31-45,Sports/exercise,Cola-Coka
1529,121560,Male,19-30,Social outings/parties,Cola-Coka
1530,121561,Non-binary,46-65,Studying/working late,Cola-Coka
1531,121562,Male,19-30,Studying/working late,Cola-Coka
1532,121563,Male,19-30,Other,Bepsi
1533,121564,Female,19-30,Social outings/parties,Cola-Coka
1534,121565,Female,19-30,Sports/exercise,Sky 9
1535,121566,Male,15-18,Sports/exercise,CodeX
1536,121567,Male,31-45,Social outings/parties,Cola-Coka
1537,121568,Female,19-30,Social outings/parties,Bepsi
1538,121569,Male,19-30,Studying/working late,Others
1539,121570,Female,46-65,Sports/exercise,Gangster
1540,121571,Male,31-45,Studying/working late,Cola-Coka
1541,121572,Male,15-18,Other,Cola-Coka
1542,121573,Male,19-30,Social outings/parties,Gangster
1543,121574,Female,31-45,Studying/working late,Blue Bull
1544,121575,Male,15-18,Studying/working late,CodeX
1545,121576,Male,19-30,Social outings/parties,Cola-Coka
1546,121577,Male,15-18,Studying/working late,CodeX
1547,121578,Female,19-30,Sports/exercise,Bepsi
1548,121579,Female,19-30,Studying/working late,Sky 9
1549,121580,Male,15-18,Studying/working late,Cola-Coka
1550,121581,Male,19-30,Sports/exercise,Cola-Coka
1551,121582,Male,19-30,Studying/working late,Bepsi
1552,121583,Male,19-30,Studying/working late,CodeX
1553,121584,Male,15-18,Studying/working late,Gangster
1554,121585,Female,19-30,Social outings/parties,Sky 9
1555,121586,Female,15-18,Sports/exercise,Cola-Coka
1556,121587,Male,19-30,Sports/exercise,Bepsi
1557,121588,Male,46-65,Social outings/parties,Sky 9
1558,121589,Male,19-30,Studying/working late,Bepsi
1559,121590,Female,19-30,Other,Gangster
1560,121591,Non-binary,65+,Studying/working late,Gangster
1561,121592,Male,15-18,Sports/exercise,Gangster
1562,121593,Male,19-30,Social outings/parties,CodeX
1563,121594,Non-binary,19-30,Sports/exercise,CodeX
1564,121595,Female,31-45,Sports/exercise,Cola-Coka
1565,121596,Female,46-65,Studying/working late,Bepsi
1566,121597,Male,15-18,Sports/exercise,Sky 9
1567,121598,Male,31-45,Sports/exercise,CodeX
1568,121599,Male,19-30,Studying/working late,Cola-Coka
1569,121600,Male,19-30,Sports/exercise,Gangster
1570,121601,Male,31-45,Sports/exercise,Bepsi
1571,121602,Male,19-30,Sports/exercise,Cola-Coka
1572,121603,Male,31-45,Studying/working late,CodeX
1573,121604,Female,31-45,Social outings/parties,Cola-Coka
1574,121605,Male,19-30,Sports/exercise,Bepsi
1575,121606,Male,19-30,Studying/working late,CodeX
1576,121607,Female,15-18,Sports/exercise,Sky 9
1577,121608,Female,15-18,Sports/exercise,Sky 9
1578,121609,Female,15-18,Sports/exercise,CodeX
1579,121610,Male,19-30,Sports/exercise,Blue Bull
1580,121611,Male,19-30,Sports/exercise,Cola-Coka
1581,121612,Male,31-45,Studying/working late,Bepsi
1582,121613,Male,46-65,Sports/exercise,Gangster
1583,121614,Male,15-18,Sports/exercise,Gangster
1584,121615,Female,19-30,Sports/exercise,CodeX
1585,121616,Female,31-45,Sports/exercise,Bepsi
1586,121617,Male,31-45,Sports/exercise,Gangster
1587,121618,Female,19-30,Sports/exercise,Cola-Coka
1588,121619,Non-binary,31-45,Other,Bepsi
1589,121620,Female,19-30,Studying/working late,Bepsi
1590,121621,Female,31-45,Studying/working late,Gangster
1591,121622,Male,19-30,Studying/working late,Bepsi
1592,121623,Female,31-45,Social outings/parties,Sky 9
1593,121624,Female,19-30,Studying/working late,Gangster
1594,121625,Male,19-30,Sports/exercise,Cola-Coka
1595,121626,Male,19-30,Sports/exercise,Gangster
1596,121627,Female,19-30,Sports/exercise,Gangster
1597,121628,Male,31-45,Sports/exercise,Gangster
1598,121629,Male,19-30,Sports/exercise,Cola-Coka
1599,121630,Female,19-30,Sports/exercise,Cola-Coka
1600,121631,Female,19-30,Sports/exercise,Bepsi
1601,121632,Male,19-30,Sports/exercise,Blue Bull
1602,121633,Female,46-65,Sports/exercise,Cola-Coka
1603,121634,Female,19-30,Studying/working late,Bepsi
1604,121635,Female,15-18,Studying/working late,Sky 9
1605,121636,Male,19-30,Sports/exercise,Others
1606,121637,Female,15-18,Studying/working late,Blue Bull
1607,121638,Male,19-30,Social outings/parties,Blue Bull
1608,121639,Non-binary,15-18,Social outings/parties,Blue Bull
1609,121640,Female,31-45,Sports/exercise,Gangster
1610,121641,Male,19-30,Sports/exercise,Bepsi
1611,121642,Male,19-30,Studying/working late,Bepsi
1612,121643,Male,19-30,Sports/exercise,CodeX
1613,121644,Non-binary,31-45,Sports/exercise,CodeX
1614,121645,Female,65+,Sports/exercise,Bepsi
1615,121646,Male,19-30,Sports/exercise,Cola-Coka
1616,121647,Female,15-18,Sports/exercise,Gangster
1617,121648,Male,19-30,Sports/exercise,Cola-Coka
1618,121649,Male,31-45,Sports/exercise,Gangster
1619,121650,Male,19-30,Studying/working late,Bepsi
1620,121651,Male,19-30,Sports/exercise,Cola-Coka
1621,121652,Female,19-30,Studying/working late,Blue Bull
1622,121653,Female,15-18,Social outings/parties,CodeX
1623,121654,Male,19-30,Sports/exercise,Cola-Coka
1624,121655,Male,19-30,Sports/exercise,Gangster
1625,121656,Male,31-45,Other,Bepsi
1626,121657,Male,31-45,Sports/exercise,Blue Bull
1627,121658,Male,19-30,Sports/exercise,Gangster
1628,121659,Male,19-30,Social outings/parties,Bepsi
1629,121660,Male,15-18,Studying/working late,Gangster
1630,121661,Male,46-65,Studying/working late,Blue Bull
1631,121662,Male,31-45,Studying/working late,Bepsi
1632,121663,Male,31-45,Driving/commuting,Blue Bull
1633,121664,Male,31-45,Sports/exercise,Blue Bull
1634,121665,Female,19-30,Studying/working late,Others
1635,121666,Male,19-30,Sports/exercise,Gangster
1636,121667,Female,31-45,Sports/exercise,Gangster
1637,121668,Male,15-18,Sports/exercise,Bepsi
1638,121669,Female,31-45,Sports/exercise,Bepsi
1639,121670,Female,19-30,Sports/exercise,Bepsi
1640,121671,Female,19-30,Sports/exercise,Blue Bull
1641,121672,Male,31-45,Sports/exercise,Sky 9
1642,121673,Male,19-30,Driving/commuting,Bepsi
1643,121674,Male,19-30,Sports/exercise,Gangster
1644,121675,Male,19-30,Studying/working late,Cola-Coka
1645,121676,Male,19-30,Social outings/parties,Cola-Coka
1646,121677,Male,19-30,Driving/commuting,Cola-Coka
1647,121678,Female,31-45,Sports/exercise,Cola-Coka
1648,121679,Male,31-45,Sports/exercise,CodeX
1649,121680,Male,19-30,Studying/working late,CodeX
1650,121681,Non-binary,19-30,Sports/exercise,Bepsi
1651,121682,Female,19-30,Studying/working late,Bepsi
1652,121683,Non-binary,15-18,Studying/working late,Gangster
1653,121684,Female,19-30,Sports/exercise,Gangster
1654,121685,Male,31-45,Sports/exercise,Bepsi
1655,121686,Male,19-30,Sports/exercise,Cola-Coka
1656,121687,Male,19-30,Studying/working late,Cola-Coka
1657,121688,Female,31-45,Studying/working late,Sky 9
1658,121689,Male,31-45,Sports/exercise,Bepsi
1659,121690,Male,19-30,Sports/exercise,Cola-Coka
1660,121691,Male,31-45,Social outings/parties,Blue Bull
1661,121692,Male,65+,Studying/working late,Bepsi
1662,121693,Male,31-45,Sports/exercise,Gangster
1663,121694,Female,19-30,Sports/exercise,Blue Bull
1664,121695,Female,19-30,Studying/working late,Bepsi
1665,121696,Female,19-30,Social outings/parties,Gangster
1666,121697,Male,19-30,Studying/working late,Others
1667,121698,Male,19-30,Sports/exercise,Cola-Coka
1668,121699,Female,31-45,Sports/exercise,Sky 9
1669,121700,Female,19-30,Studying/working late,Bepsi
1670,121701,Male,15-18,Social outings/parties,CodeX
1671,121702,Male,31-45,Studying/working late,Cola-Coka
