,Unnamed: 0.1,Unnamed: 0,Respondent_ID,Gender,Age,Current_brands,Marketing_channels,Consume_frequency
1374,1374,1374,121405,Male,19-30,Gangster,TV commercials,Rarely
1375,1375,1375,121406,Male,31-45,Bepsi,TV commercials,Once a week
1376,1376,1376,121407,Male,19-30,Blue Bull,Online ads,Daily
1377,1377,1377,121408,Male,19-30,Gangster,TV commercials,2-3 times a month
1378,1378,1378,121409,Male,19-30,CodeX,Online ads,2-3 times a week
1379,1379,1379,121410,Female,31-45,Cola-Coka,Online ads,Rarely
1380,1380,1380,121411,Male,46-65,Bepsi,Online ads,Daily
1381,1381,1381,121412,Non-binary,15-18,Blue Bull,TV commercials,2-3 times a week
1382,1382,1382,121413,Female,15-18,Cola-Coka,TV commercials,Daily
1383,1383,1383,121414,Female,31-45,Sky 9,Online ads,2-3 times a week
1384,1384,1384,121415,Male,19-30,Gangster,Online ads,Once a week
1385,1385,1385,121416,Female,19-30,Gangster,Online ads,2-3 times a week
1386,1386,1386,121417,Male,19-30,Cola-Coka,TV commercials,Once a week
1387,1387,1387,121418,Male,19-30,Gangster,Other,2-3 times a week
1388,1388,1388,121419,Male,15-18,Gangster,TV commercials,Once a week
1389,1389,1389,121420,Male,19-30,Cola-Coka,Online ads,Rarely
1390,1390,1390,121421,Male,19-30,Bepsi,Print media,2-3 times a month
1391,1391,1391,121422,Male,19-30,Cola-Coka,Other,2-3 times a month
1392,1392,1392,121423,Female,19-30,Gangster,Outdoor billboards,2-3 times a month
1393,1393,1393,121424,Non-binary,31-45,Bepsi,TV commercials,Daily
1394,1394,1394,121425,Male,31-45,Gangster,Other,2-3 times a month
1395,1395,1395,121426,Male,65+,Gangster,TV commercials,2-3 times a month
1396,1396,1396,121427,Male,15-18,Cola-Coka,TV commercials,2-3 times a week
1397,1397,1397,121428,Male,31-45,Cola-Coka,Other,2-3 times a week
1398,1398,1398,121429,Male,31-45,Bepsi,Outdoor billboards,Rarely
1399,1399,1399,121430,Male,31-45,Sky 9,Outdoor billboards,Rarely
1400,1400,1400,121431,Male,15-18,Cola-Coka,Outdoor billboards,Once a week
1401,1401,1401,121432,Male,15-18,Bepsi,Outdoor billboards,2-3 times a month
1402,1402,1402,121433,Female,31-45,Blue Bull,Print media,2-3 times a week
1403,1403,1403,121434,Female,31-45,CodeX,Online ads,2-3 times a week
1404,1404,1404,121435,Non-binary,46-65,Cola-Coka,Online ads,2-3 times a month
1405,1405,1405,121436,Male,19-30,Cola-Coka,TV commercials,2-3 times a week
1406,1406,1406,121437,Male,19-30,Cola-Coka,Online ads,Once a week
1407,1407,1407,121438,Male,19-30,Cola-Coka,Other,Once a week
1408,1408,1408,121439,Female,19-30,Sky 9,Online ads,2-3 times a month
1409,1409,1409,121440,Male,31-45,CodeX,TV commercials,Once a week
1410,1410,1410,121441,Male,19-30,Gangster,Online ads,2-3 times a week
1411,1411,1411,121442,Male,31-45,Cola-Coka,Outdoor billboards,Rarely
1412,1412,1412,121443,Male,19-30,Gangster,Other,2-3 times a month
1413,1413,1413,121444,Male,19-30,Cola-Coka,Other,Rarely
1414,1414,1414,121445,Male,15-18,Cola-Coka,Outdoor billboards,2-3 times a month
1415,1415,1415,121446,Female,15-18,Bepsi,Online ads,Daily
1416,1416,1416,121447,Male,31-45,Bepsi,TV commercials,Rarely
1417,1417,1417,121448,Male,31-45,Cola-Coka,TV commercials,2-3 times a week
1418,1418,1418,121449,Female,19-30,Blue Bull,Other,Daily
1419,1419,1419,121450,Female,19-30,Bepsi,Online ads,2-3 times a week
1420,1420,1420,121451,Male,15-18,Blue Bull,Online ads,2-3 times a month
1421,1421,1421,121452,Male,19-30,Others,Online ads,2-3 times a month
1422,1422,1422,121453,Male,65+,Cola-Coka,Other,2-3 times a week
1423,1423,1423,121454,Male,15-18,Gangster,Online ads,Rarely
1424,1424,1424,121455,Male,19-30,Cola-Coka,TV commercials,2-3 times a week
1425,1425,1425,121456,Male,31-45,Cola-Coka,TV commercials,Daily
1426,1426,1426,121457,Male,19-30,Bepsi,Other,Rarely
1427,1427,1427,121458,Female,19-30,Cola-Coka,TV commercials,2-3 times a month
1428,1428,1428,121459,Male,19-30,Gangster,Other,Rarely
1429,1429,1429,121460,Female,15-18,Gangster,Print media,Once a week
1430,1430,1430,121461,Female,31-45,Sky 9,Online ads,Once a week
1431,1431,1431,121462,Female,19-30,Bepsi,TV commercials,2-3 times a week
1432,1432,1432,121463,Female,19-30,Bepsi,Online ads,Rarely
1433,1433,1433,121464,Male,19-30,Others,Online ads,Once a week
1434,1434,1434,121465,Male,19-30,Gangster,Online ads,2-3 times a month
1435,1435,1435,121466,Male,19-30,Sky 9,Outdoor billboards,Daily
1436,1436,1436,121467,Female,15-18,Bepsi,Online ads,2-3 times a week
1437,1437,1437,121468,Male,15-18,Gangster,Outdoor billboards,2-3 times a week
1438,1438,1438,121469,Male,19-30,Cola-Coka,Print media,Rarely
1439,1439,1439,121470,Male,15-18,Sky 9,TV commercials,Once a week
1440,1440,1440,121471,Male,19-30,Cola-Coka,Online ads,2-3 times a week
1441,1441,1441,121472,Male,19-30,Bepsi,TV commercials,2-3 times a week
1442,1442,1442,121473,Male,31-45,Cola-Coka,Online ads,Daily
1443,1443,1443,121474,Male,19-30,Gangster,Other,Rarely
1444,1444,1444,121475,Male,19-30,Blue Bull,Print media,2-3 times a week
1445,1445,1445,121476,Female,19-30,Cola-Coka,Online ads,2-3 times a week
1446,1446,1446,121477,Female,31-45,CodeX,Online ads,2-3 times a month
1447,1447,1447,121478,Female,19-30,Cola-Coka,Outdoor billboards,Daily
1448,1448,1448,121479,Male,19-30,Gangster,Online ads,Daily
1449,1449,1449,121480,Female,46-65,Blue Bull,Online ads,2-3 times a week
1450,1450,1450,121481,Male,19-30,Bepsi,Print media,Once a week
1451,1451,1451,121482,Female,15-18,Bepsi,Online ads,Once a week
1452,1452,1452,121483,Female,19-30,Cola-Coka,Print media,Daily
1453,1453,1453,121484,Female,19-30,Cola-Coka,Other,Once a week
1454,1454,1454,121485,Female,19-30,Gangster,Online ads,2-3 times a week
1455,1455,1455,121486,Female,19-30,Cola-Coka,Other,Rarely
1456,1456,1456,121487,Female,31-45,Blue Bull,Online ads,2-3 times a month
1457,1457,1457,121488,Female,46-65,Cola-Coka,Outdoor billboards,Daily
1458,1458,1458,121489,Male,31-45,Cola-Coka,TV commercials,2-3 times a week
1459,1459,1459,121490,Male,15-18,Gangster,Online ads,2-3 times a week
1460,1460,1460,121491,Male,19-30,Bepsi,Online ads,Daily
1461,1461,1461,121492,Male,31-45,Bepsi,Online ads,2-3 times a week
1462,1462,1462,121493,Female,19-30,Bepsi,Online ads,Once a week
1463,1463,1463,121494,Male,19-30,Cola-Coka,Online ads,2-3 times a week
1464,1464,1464,121495,Male,31-45,Cola-Coka,Other,Rarely
1465,1465,1465,121496,Male,31-45,Bepsi,TV commercials,2-3 times a month
1466,1466,1466,121497,Male,19-30,Others,Outdoor billboards,2-3 times a week
1467,1467,1467,121498,Female,19-30,Blue Bull,Online ads,2-3 times a week
1468,1468,1468,121499,Male,19-30,Others,Online ads,Daily
1469,1469,1469,121500,Female,19-30,Bepsi,TV commercials,2-3 times a week
1470,1470,1470,121501,Male,19-30,Gangster,TV commercials,2-3 times a week
1471,1471,1471,121502,Female,15-18,Bepsi,Online ads,Rarely
1472,1472,1472,121503,Non-binary,19-30,Bepsi,TV commercials,2-3 times a week
1473,1473,1473,121504,Male,19-30,Gangster,Print media,Daily
1474,1474,1474,121505,Male,19-30,Gangster,Online ads,2-3 times a week
1475,1475,1475,121506,Male,15-18,Cola-Coka,Online ads,Rarely
1476,1476,1476,121507,Male,19-30,CodeX,Online ads,Rarely
1477,1477,1477,121508,Male,19-30,Cola-Coka,Online ads,2-3 times a week
1478,1478,1478,121509,Male,15-18,Cola-Coka,Online ads,Rarely
1479,1479,1479,121510,Male,19-30,Others,Online ads,Rarely
1480,1480,1480,121511,Male,19-30,Cola-Coka,TV commercials,2-3 times a month
1481,1481,1481,121512,Male,31-45,Bepsi,Other,2-3 times a week
1482,1482,1482,121513,Female,19-30,CodeX,TV commercials,Daily
1483,1483,1483,121514,Male,46-65,CodeX,TV commercials,Rarely
1484,1484,1484,121515,Male,15-18,Sky 9,Outdoor billboards,Rarely
1485,1485,1485,121516,Female,19-30,Cola-Coka,Online ads,2-3 times a week
1486,1486,1486,121517,Female,31-45,Cola-Coka,Online ads,2-3 times a week
1487,1487,1487,121518,Male,15-18,Bepsi,TV commercials,Rarely
1488,1488,1488,121519,Female,19-30,CodeX,Outdoor billboards,Daily
1489,1489,1489,121520,Male,19-30,Gangster,Online ads,2-3 times a week
1490,1490,1490,121521,Male,31-45,Blue Bull,TV commercials,Once a week
1491,1491,1491,121522,Male,65+,Gangster,Outdoor billboards,2-3 times a week
1492,1492,1492,121523,Male,19-30,Cola-Coka,Online ads,Rarely
1493,1493,1493,121524,Male,31-45,Cola-Coka,Online ads,Daily
1494,1494,1494,121525,Male,19-30,Bepsi,Online ads,Rarely
1495,1495,1495,121526,Male,15-18,Bepsi,Online ads,Daily
1496,1496,1496,121527,Male,19-30,Cola-Coka,Online ads,2-3 times a month
1497,1497,1497,121528,Female,19-30,Sky 9,Outdoor billboards,Rarely
1498,1498,1498,121529,Female,31-45,Bepsi,TV commercials,2-3 times a week
1499,1499,1499,121530,Non-binary,31-45,Sky 9,TV commercials,Rarely
1500,1500,1500,121531,Female,19-30,Cola-Coka,Outdoor billboards,Daily
1501,1501,1501,121532,Male,15-18,Bepsi,Online ads,2-3 times a week
1502,1502,1502,121533,Male,31-45,Sky 9,TV commercials,2-3 times a month
1503,1503,1503,121534,Female,19-30,Blue Bull,Online ads,Daily
1504,1504,1504,121535,Female,19-30,Cola-Coka,Online ads,Rarely
1505,1505,1505,121536,Male,15-18,Gangster,Online ads,Once a week
1506,1506,1506,121537,Male,19-30,Gangster,Outdoor billboards,2-3 times a week
1507,1507,1507,121538,Male,19-30,Gangster,Outdoor billboards,2-3 times a week
1508,1508,1508,121539,Male,31-45,Bepsi,Outdoor billboards,Rarely
1509,1509,1509,121540,Male,19-30,Sky 9,Online ads,Rarely
1510,1510,1510,121541,Male,65+,Gangster,TV commercials,Daily
1511,1511,1511,121542,Male,15-18,Gangster,Other,Daily
1512,1512,1512,121543,Male,19-30,Bepsi,Online ads,2-3 times a week
1513,1513,1513,121544,Male,31-45,Blue Bull,TV commercials,Rarely
1514,1514,1514,121545,Male,19-30,Cola-Coka,Other,Rarely
1515,1515,1515,121546,Non-binary,19-30,Bepsi,Online ads,2-3 times a month
1516,1516,1516,121547,Male,19-30,Cola-Coka,Online ads,Once a week
1517,1517,1517,121548,Male,19-30,Bepsi,Online ads,Rarely
1518,1518,1518,121549,Male,19-30,CodeX,Online ads,2-3 times a week
1519,1519,1519,121550,Female,19-30,Gangster,TV commercials,Rarely
1520,1520,1520,121551,Male,19-30,Cola-Coka,Online ads,Rarely
1521,1521,1521,121552,Male,19-30,Gangster,TV commercials,2-3 times a week
1522,1522,1522,121553,Male,19-30,Bepsi,Online ads,2-3 times a week
1523,1523,1523,121554,Non-binary,19-30,Bepsi,Outdoor billboards,2-3 times a month
1524,1524,1524,121555,Female,15-18,Bepsi,Online ads,2-3 times a month
1525,1525,1525,121556,Male,19-30,Blue Bull,Outdoor billboards,2-3 times a week
1526,1526,1526,121557,Female,31-45,Cola-Coka,Other,2-3 times a week
1527,1527,1527,121558,Male,19-30,Bepsi,Outdoor billboards,2-3 times a week
1528,1528,1528,121559,Female,31-45,Cola-Coka,Online ads,Rarely
1529,1529,1529,121560,Male,19-30,Cola-Coka,Outdoor billboards,2-3 times a week
1530,1530,1530,121561,Non-binary,46-65,Cola-Coka,Other,2-3 times a month
1531,1531,1531,121562,Male,19-30,Cola-Coka,Online ads,2-3 times a month
1532,1532,1532,121563,Male,19-30,Bepsi,Online ads,2-3 times a week
1533,1533,1533,121564,Female,19-30,Cola-Coka,Online ads,Rarely
1534,1534,1534,121565,Female,19-30,Sky 9,Online ads,Rarely
1535,1535,1535,121566,Male,15-18,CodeX,TV commercials,2-3 times a week
1536,1536,1536,121567,Male,31-45,Cola-Coka,Print media,2-3 times a week
1537,1537,1537,121568,Female,19-30,Bepsi,TV commercials,2-3 times a week
1538,1538,1538,121569,Male,19-30,Others,Online ads,Rarely
1539,1539,1539,121570,Female,46-65,Gangster,Print media,2-3 times a week
1540,1540,1540,121571,Male,31-45,Cola-Coka,Print media,Daily
1541,1541,1541,121572,Male,15-18,Cola-Coka,Online ads,Daily
1542,1542,1542,121573,Male,19-30,Gangster,Print media,2-3 times a week
1543,1543,1543,121574,Female,31-45,Blue Bull,TV commercials,Once a week
1544,1544,1544,121575,Male,15-18,CodeX,TV commercials,Once a week
1545,1545,1545,121576,Male,19-30,Cola-Coka,Online ads,Rarely
1546,1546,1546,121577,Male,15-18,CodeX,TV commercials,Rarely
1547,1547,1547,121578,Female,19-30,Bepsi,Other,2-3 times a month
1548,1548,1548,121579,Female,19-30,Sky 9,Online ads,Daily
1549,1549,1549,121580,Male,15-18,Cola-Coka,Outdoor billboards,Rarely
1550,1550,1550,121581,Male,19-30,Cola-Coka,TV commercials,Daily
1551,1551,1551,121582,Male,19-30,Bepsi,Online ads,Daily
1552,1552,1552,121583,Male,19-30,CodeX,Outdoor billboards,Rarely
1553,1553,1553,121584,Male,15-18,Gangster,Online ads,Rarely
1554,1554,1554,121585,Female,19-30,Sky 9,Other,2-3 times a month
1555,1555,1555,121586,Female,15-18,Cola-Coka,Online ads,2-3 times a week
1556,1556,1556,121587,Male,19-30,Bepsi,Online ads,Once a week
1557,1557,1557,121588,Male,46-65,Sky 9,Outdoor billboards,Rarely
1558,1558,1558,121589,Male,19-30,Bepsi,Online ads,Daily
1559,1559,1559,121590,Female,19-30,Gangster,Print media,Once a week
1560,1560,1560,121591,Non-binary,65+,Gangster,Outdoor billboards,Daily
1561,1561,1561,121592,Male,15-18,Gangster,TV commercials,2-3 times a week
1562,1562,1562,121593,Male,19-30,CodeX,Online ads,Rarely
1563,1563,1563,121594,Non-binary,19-30,CodeX,TV commercials,2-3 times a week
1564,1564,1564,121595,Female,31-45,Cola-Coka,TV commercials,Daily
1565,1565,1565,121596,Female,46-65,Bepsi,Other,2-3 times a week
1566,1566,1566,121597,Male,15-18,Sky 9,Other,2-3 times a month
1567,1567,1567,121598,Male,31-45,CodeX,Other,Rarely
1568,1568,1568,121599,Male,19-30,Cola-Coka,TV commercials,Once a week
1569,1569,1569,121600,Male,19-30,Gangster,Online ads,Daily
1570,1570,1570,121601,Male,31-45,Bepsi,TV commercials,2-3 times a week
1571,1571,1571,121602,Male,19-30,Cola-Coka,TV commercials,2-3 times a month
1572,1572,1572,121603,Male,31-45,CodeX,TV commercials,2-3 times a month
1573,1573,1573,121604,Female,31-45,Cola-Coka,Other,2-3 times a month
1574,1574,1574,121605,Male,19-30,Bepsi,Other,Daily
1575,1575,1575,121606,Male,19-30,CodeX,Online ads,2-3 times a month
1576,1576,1576,121607,Female,15-18,Sky 9,TV commercials,Rarely
1577,1577,1577,121608,Female,15-18,Sky 9,Online ads,Daily
1578,1578,1578,121609,Female,15-18,CodeX,Other,2-3 times a week
1579,1579,1579,121610,Male,19-30,Blue Bull,TV commercials,2-3 times a week
1580,1580,1580,121611,Male,19-30,Cola-Coka,Online ads,Daily
1581,1581,1581,121612,Male,31-45,Bepsi,Other,Daily
1582,1582,1582,121613,Male,46-65,Gangster,Other,2-3 times a week
1583,1583,1583,121614,Male,15-18,Gangster,Online ads,Daily
1584,1584,1584,121615,Female,19-30,CodeX,Online ads,2-3 times a week
1585,1585,1585,121616,Female,31-45,Bepsi,TV commercials,2-3 times a week
1586,1586,1586,121617,Male,31-45,Gangster,TV commercials,Rarely
1587,1587,1587,121618,Female,19-30,Cola-Coka,Online ads,2-3 times a week
1588,1588,1588,121619,Non-binary,31-45,Bepsi,TV commercials,2-3 times a month
1589,1589,1589,121620,Female,19-30,Bepsi,TV commercials,Once a week
1590,1590,1590,121621,Female,31-45,Gangster,Outdoor billboards,2-3 times a month
1591,1591,1591,121622,Male,19-30,Bepsi,Outdoor billboards,Daily
1592,1592,1592,121623,Female,31-45,Sky 9,Outdoor billboards,2-3 times a week
1593,1593,1593,121624,Female,19-30,Gangster,TV commercials,Daily
1594,1594,1594,121625,Male,19-30,Cola-Coka,Online ads,Rarely
1595,1595,1595,121626,Male,19-30,Gangster,TV commercials,Once a week
1596,1596,1596,121627,Female,19-30,Gangster,TV commercials,Once a week
1597,1597,1597,121628,Male,31-45,Gangster,TV commercials,2-3 times a week
1598,1598,1598,121629,Male,19-30,Cola-Coka,TV commercials,2-3 times a week
1599,1599,1599,121630,Female,19-30,Cola-Coka,Online ads,Rarely
1600,1600,1600,121631,Female,19-30,Bepsi,Other,2-3 times a week
1601,1601,1601,121632,Male,19-30,Blue Bull,Outdoor billboards,2-3 times a week
1602,1602,1602,121633,Female,46-65,Cola-Coka,TV commercials,2-3 times a month
1603,1603,1603,121634,Female,19-30,Bepsi,Other,Rarely
1604,1604,1604,121635,Female,15-18,Sky 9,Other,Rarely
1605,1605,1605,121636,Male,19-30,Others,TV commercials,2-3 times a week
1606,1606,1606,121637,Female,15-18,Blue Bull,TV commercials,2-3 times a month
1607,1607,1607,121638,Male,19-30,Blue Bull,TV commercials,Rarely
1608,1608,1608,121639,Non-binary,15-18,Blue Bull,TV commercials,Rarely
1609,1609,1609,121640,Female,31-45,Gangster,TV commercials,2-3 times a month
1610,1610,1610,121641,Male,19-30,Bepsi,Online ads,2-3 times a week
1611,1611,1611,121642,Male,19-30,Bepsi,Online ads,Rarely
1612,1612,1612,121643,Male,19-30,CodeX,Other,2-3 times a week
1613,1613,1613,121644,Non-binary,31-45,CodeX,TV commercials,2-3 times a month
1614,1614,1614,121645,Female,65+,Bepsi,Online ads,2-3 times a week
1615,1615,1615,121646,Male,19-30,Cola-Coka,Outdoor billboards,Once a week
1616,1616,1616,121647,Female,15-18,Gangster,TV commercials,2-3 times a week
1617,1617,1617,121648,Male,19-30,Cola-Coka,TV commercials,2-3 times a month
1618,1618,1618,121649,Male,31-45,Gangster,Other,2-3 times a month
1619,1619,1619,121650,Male,19-30,Bepsi,Online ads,2-3 times a week
1620,1620,1620,121651,Male,19-30,Cola-Coka,Online ads,Daily
1621,1621,1621,121652,Female,19-30,Blue Bull,Online ads,Rarely
1622,1622,1622,121653,Female,15-18,CodeX,Outdoor billboards,Daily
1623,1623,1623,121654,Male,19-30,Cola-Coka,Online ads,Rarely
1624,1624,1624,121655,Male,19-30,Gangster,Outdoor billboards,2-3 times a week
1625,1625,1625,121656,Male,31-45,Bepsi,TV commercials,2-3 times a month
1626,1626,1626,121657,Male,31-45,Blue Bull,Outdoor billboards,2-3 times a week
1627,1627,1627,121658,Male,19-30,Gangster,TV commercials,2-3 times a week
1628,1628,1628,121659,Male,19-30,Bepsi,Online ads,2-3 times a week
1629,1629,1629,121660,Male,15-18,Gangster,Online ads,2-3 times a week
1630,1630,1630,121661,Male,46-65,Blue Bull,Print media,2-3 times a week
1631,1631,1631,121662,Male,31-45,Bepsi,TV commercials,2-3 times a week
1632,1632,1632,121663,Male,31-45,Blue Bull,Outdoor billboards,2-3 times a week
1633,1633,1633,121664,Male,31-45,Blue Bull,Outdoor billboards,Daily
1634,1634,1634,121665,Female,19-30,Others,Online ads,Rarely
1635,1635,1635,121666,Male,19-30,Gangster,Online ads,2-3 times a month
1636,1636,1636,121667,Female,31-45,Gangster,Outdoor billboards,Once a week
1637,1637,1637,121668,Male,15-18,Bepsi,Online ads,2-3 times a week
1638,1638,1638,121669,Female,31-45,Bepsi,Online ads,2-3 times a week
1639,1639,1639,121670,Female,19-30,Bepsi,Online ads,Rarely
1640,1640,1640,121671,Female,19-30,Blue Bull,Online ads,2-3 times a month
1641,1641,1641,121672,Male,31-45,Sky 9,Outdoor billboards,2-3 times a week
1642,1642,1642,121673,Male,19-30,Bepsi,TV commercials,2-3 times a week
1643,1643,1643,121674,Male,19-30,Gangster,Online ads,Daily
1644,1644,1644,121675,Male,19-30,Cola-Coka,Online ads,2-3 times a month
1645,1645,1645,121676,Male,19-30,Cola-Coka,TV commercials,Rarely
1646,1646,1646,121677,Male,19-30,Cola-Coka,TV commercials,Rarely
1647,1647,1647,121678,Female,31-45,Cola-Coka,TV commercials,Rarely
1648,1648,1648,121679,Male,31-45,CodeX,TV commercials,2-3 times a week
1649,1649,1649,121680,Male,19-30,CodeX,TV commercials,Rarely
1650,1650,1650,121681,Non-binary,19-30,Bepsi,Online ads,Rarely
1651,1651,1651,121682,Female,19-30,Bepsi,TV commercials,Rarely
1652,1652,1652,121683,Non-binary,15-18,Gangster,Outdoor billboards,2-3 times a month
1653,1653,1653,121684,Female,19-30,Gangster,TV commercials,Daily
1654,1654,1654,121685,Male,31-45,Bepsi,Other,2-3 times a month
1655,1655,1655,121686,Male,19-30,Cola-Coka,Online ads,Daily
1656,1656,1656,121687,Male,19-30,Cola-Coka,TV commercials,2-3 times a week
1657,1657,1657,121688,Female,31-45,Sky 9,Other,Daily
1658,1658,1658,121689,Male,31-45,Bepsi,TV commercials,2-3 times a week
1659,1659,1659,121690,Male,19-30,Cola-Coka,TV commercials,Once a week
1660,1660,1660,121691,Male,31-45,Blue Bull,TV commercials,2-3 times a week
1661,1661,1661,121692,Male,65+,Bepsi,TV commercials,2-3 times a week
1662,1662,1662,121693,Male,31-45,Gangster,Outdoor billboards,Once a week
1663,1663,1663,121694,Female,19-30,Blue Bull,Outdoor billboards,2-3 times a week
1664,1664,1664,121695,Female,19-30,Bepsi,Online ads,2-3 times a month
1665,1665,1665,121696,Female,19-30,Gangster,Online ads,2-3 times a month
1666,1666,1666,121697,Male,19-30,Others,Print media,Daily
1667,1667,1667,121698,Male,19-30,Cola-Coka,Online ads,2-3 times a week
1668,1668,1668,121699,Female,31-45,Sky 9,Online ads,2-3 times a week
1669,1669,1669,121700,Female,19-30,Bepsi,Print media,2-3 times a month
1670,1670,1670,121701,Male,15-18,CodeX,Online ads,Once a week
1671,1671,1671,121702,Male,31-45,Cola-Coka,Other,2-3 times a week
1672,1672,1672,121703,Female,46-65,Bepsi,Print media,2-3 times a month
1673,1673,1673,121704,Male,19-30,CodeX,TV commercials,Rarely
1674,1674,1674,121705,Male,15-18,Gangster,TV commercials,2-3 times a week
1675,1675,1675,121706,Female,15-18,Cola-Coka,Outdoor billboards,2-3 times a week
1676,1676,1676,121707,Non-binary,31-45,Cola-Coka,Outdoor billboards,2-3 times a week
1677,1677,1677,121708,Female,19-30,Bepsi,Print media,2-3 times a month
1678,1678,1678,121709,Non-binary,19-30,Cola-Coka,Print media,2-3 times a week
1679,1679,1679,121710,Non-binary,31-45,Others,TV commercials,Daily
1680,1680,1680,121711,Male,19-30,Cola-Coka,Online ads,2-3 times a week
1681,1681,1681,121712,Male,31-45,Bepsi,Outdoor billboards,Daily
1682,1682,1682,121713,Female,19-30,Bepsi,Online ads,Once a week
1683,1683,1683,121714,Male,31-45,Others,Outdoor billboards,Once a week
1684,1684,1684,121715,Female,31-45,CodeX,Print media,Once a week
1685,1685,1685,121716,Male,31-45,Gangster,TV commercials,2-3 times a week
1686,1686,1686,121717,Male,19-30,Bepsi,Online ads,2-3 times a week
1687,1687,1687,121718,Female,31-45,Sky 9,TV commercials,2-3 times a month
1688,1688,1688,121719,Male,31-45,Cola-Coka,TV commercials,2-3 times a week
1689,1689,1689,121720,Male,19-30,Cola-Coka,TV commercials,2-3 times a week
1690,1690,1690,121721,Female,19-30,Bepsi,TV commercials,2-3 times a week
1691,1691,1691,121722,Female,31-45,Gangster,TV commercials,Rarely
1692,1692,1692,121723,Male,15-18,Others,Online ads,2-3 times a week
1693,1693,1693,121724,Male,19-30,Gangster,Online ads,2-3 times a week
1694,1694,1694,121725,Male,31-45,Others,Other,2-3 times a week
1695,1695,1695,121726,Male,19-30,Gangster,Other,Rarely
1696,1696,1696,121727,Male,31-45,Blue Bull,Other,2-3 times a month
1697,1697,1697,121728,Male,19-30,Bepsi,TV commercials,2-3 times a month
1698,1698,1698,121729,Male,15-18,Gangster,TV commercials,2-3 times a week
1699,1699,1699,121730,Male,19-30,Gangster,Online ads,2-3 times a week
1700,1700,1700,121731,Female,31-45,Bepsi,Print media,Daily
1701,1701,1701,121732,Female,19-30,Blue Bull,Online ads,Once a week
1702,1702,1702,121733,Male,46-65,Cola-Coka,Outdoor billboards,2-3 times a week
1703,1703,1703,121734,Male,15-18,Blue Bull,TV commercials,2-3 times a week
1704,1704,1704,121735,Male,19-30,Sky 9,TV commercials,2-3 times a month
1705,1705,1705,121736,Non-binary,19-30,Gangster,TV commercials,2-3 times a week
1706,1706,1706,121737,Male,31-45,Bepsi,TV commercials,2-3 times a month
1707,1707,1707,121738,Male,19-30,Bepsi,TV commercials,Daily
1708,1708,1708,121739,Male,19-30,Cola-Coka,Online ads,2-3 times a week
1709,1709,1709,121740,Male,19-30,Gangster,TV commercials,Once a week
1710,1710,1710,121741,Male,19-30,Bepsi,Online ads,Rarely
1711,1711,1711,121742,Male,19-30,Cola-Coka,Online ads,2-3 times a week
1712,1712,1712,121743,Female,31-45,CodeX,Other,Once a week
1713,1713,1713,121744,Female,15-18,Blue Bull,Online ads,Daily
1714,1714,1714,121745,Male,15-18,Cola-Coka,TV commercials,Once a week
1715,1715,1715,121746,Male,19-30,CodeX,Online ads,Once a week
1716,1716,1716,121747,Male,19-30,Cola-Coka,Online ads,2-3 times a week
1717,1717,1717,121748,Male,19-30,Gangster,Outdoor billboards,2-3 times a week
1718,1718,1718,121749,Male,15-18,Bepsi,Other,2-3 times a week
1719,1719,1719,121750,Female,31-45,Gangster,TV commercials,2-3 times a week
1720,1720,1720,121751,Male,19-30,CodeX,Print media,Once a week
1721,1721,1721,121752,Female,19-30,Bepsi,Other,Daily
1722,1722,1722,121753,Female,19-30,Blue Bull,Outdoor billboards,Daily
1723,1723,1723,121754,Male,19-30,Gangster,Outdoor billboards,Once a week
1724,1724,1724,121755,Male,19-30,Blue Bull,Online ads,Rarely
1725,1725,1725,121756,Female,15-18,Blue Bull,TV commercials,2-3 times a week
1726,1726,1726,121757,Female,19-30,Blue Bull,Online ads,Daily
1727,1727,1727,121758,Female,31-45,Cola-Coka,TV commercials,Daily
1728,1728,1728,121759,Female,19-30,Cola-Coka,Online ads,2-3 times a week
1729,1729,1729,121760,Female,19-30,CodeX,TV commercials,Rarely
1730,1730,1730,121761,Female,19-30,Cola-Coka,Online ads,2-3 times a week
1731,1731,1731,121762,Female,19-30,Bepsi,Online ads,2-3 times a week
1732,1732,1732,121763,Female,15-18,Sky 9,TV commercials,2-3 times a week
1733,1733,1733,121764,Male,46-65,Cola-Coka,Online ads,2-3 times a month
1734,1734,1734,121765,Male,19-30,Blue Bull,TV commercials,2-3 times a week
1735,1735,1735,121766,Female,15-18,Blue Bull,Online ads,2-3 times a week
1736,1736,1736,121767,Male,31-45,Cola-Coka,Outdoor billboards,Once a week
1737,1737,1737,121768,Male,46-65,Gangster,Print media,2-3 times a week
1738,1738,1738,121769,Female,19-30,Others,Other,2-3 times a month
1739,1739,1739,121770,Male,15-18,Cola-Coka,TV commercials,Rarely
1740,1740,1740,121771,Male,19-30,Bepsi,TV commercials,2-3 times a month
1741,1741,1741,121772,Male,19-30,Cola-Coka,TV commercials,Daily
1742,1742,1742,121773,Male,19-30,CodeX,Print media,2-3 times a week
1743,1743,1743,121774,Male,15-18,Cola-Coka,Online ads,Rarely
1744,1744,1744,121775,Male,19-30,Gangster,TV commercials,2-3 times a week
1745,1745,1745,121776,Female,19-30,Bepsi,Outdoor billboards,2-3 times a month
1746,1746,1746,121777,Male,31-45,Gangster,Online ads,Once a week
